row,Peak.Nr,Identifier1,Identifier2,type,Analysis,rArea44,Area44,d13Craw,d18Oraw,Date,Time,mass
1,1,Flush gas,,check gas,5143,95618,95.618,-11.012,34.211,6/28/17,,
1,2,Flush gas,,check gas,5143,96204,96.204,-11.156,34.192,6/28/17,,
1,3,Flush gas,,check gas,5143,96220,96.22,-11.183,34.217,6/28/17,,
1,4,Flush gas,,check gas,5143,96396,96.396,-11.213,34.183,6/28/17,,
1,5,Flush gas,,check gas,5143,7601,7.601,-39.583,3.114,6/28/17,,
1,6,Flush gas,,check gas,5143,35742,35.742,-39.953,2.014,6/28/17,,
1,7,Flush gas,,check gas,5143,34587,34.587,-39.937,1.996,6/28/17,,
1,8,Flush gas,,check gas,5143,33493,33.493,-39.932,2.016,6/28/17,,
1,9,Flush gas,,check gas,5143,32282,32.282,-39.949,2.021,6/28/17,,
1,10,Flush gas,,check gas,5143,31112,31.112,-39.968,2.016,6/28/17,,
1,11,Flush gas,,check gas,5143,29963,29.963,-39.999,2.08,6/28/17,,
1,12,Flush gas,,check gas,5143,28782,28.782,-39.967,2.009,6/28/17,,
1,13,Flush gas,,check gas,5143,27663,27.663,-40.01,2.038,6/28/17,,
1,14,Flush gas,,check gas,5143,26551,26.551,-39.999,2.002,6/28/17,,
1,15,Flush gas,,check gas,5143,25539,25.539,-40.05,2.043,6/28/17,,
2,1,Flush gas,,check gas,5144,96979,96.979,-11.127,34.239,6/28/17,,
2,2,Flush gas,,check gas,5144,97202,97.202,-11.156,34.192,6/28/17,,
2,3,Flush gas,,check gas,5144,97173,97.173,-11.2,34.175,6/28/17,,
2,4,Flush gas,,check gas,5144,97312,97.312,-11.201,34.168,6/28/17,,
2,5,Flush gas,,check gas,5144,7606,7.606,-39.753,2.949,6/28/17,,
2,6,Flush gas,,check gas,5144,36252,36.252,-39.927,1.937,6/28/17,,
2,7,Flush gas,,check gas,5144,35006,35.006,-39.906,1.896,6/28/17,,
2,8,Flush gas,,check gas,5144,33852,33.852,-39.919,1.943,6/28/17,,
2,9,Flush gas,,check gas,5144,32602,32.602,-39.912,1.849,6/28/17,,
2,10,Flush gas,,check gas,5144,31309,31.309,-39.913,1.923,6/28/17,,
2,11,Flush gas,,check gas,5144,30133,30.133,-39.906,1.964,6/28/17,,
2,12,Flush gas,,check gas,5144,28953,28.953,-39.856,1.996,6/28/17,,
2,13,Flush gas,,check gas,5144,27845,27.845,-39.879,1.904,6/28/17,,
2,14,Flush gas,,check gas,5144,26719,26.719,-39.789,1.929,6/28/17,,
2,15,Flush gas,,check gas,5144,25650,25.65,-39.806,1.98,6/28/17,,
3,1,HIS,,drift.std,5145,97317,97.317,-11.116,34.154,6/28/17,,90
3,2,HIS,,drift.std,5145,97134,97.134,-11.156,34.192,6/28/17,,90
3,3,HIS,,drift.std,5145,97584,97.584,-11.183,34.139,6/28/17,,90
3,4,HIS,,drift.std,5145,97258,97.258,-11.204,34.123,6/28/17,,90
3,5,HIS,,drift.std,5145,3932,3.932,-0.836,107.906,6/28/17,,90
3,6,HIS,,drift.std,5145,18598,18.598,-5.118,19.441,6/28/17,,90
3,7,HIS,,drift.std,5145,18002,18.002,-5.145,19.33,6/28/17,,90
3,8,HIS,,drift.std,5145,17354,17.354,-5.077,19.393,6/28/17,,90
3,9,HIS,,drift.std,5145,16689,16.689,-4.954,19.271,6/28/17,,90
3,10,HIS,,drift.std,5145,16084,16.084,-5.044,19.344,6/28/17,,90
3,11,HIS,,drift.std,5145,15454,15.454,-5,19.311,6/28/17,,90
3,12,HIS,,drift.std,5145,14865,14.865,-5.013,19.285,6/28/17,,90
3,13,HIS,,drift.std,5145,14287,14.287,-4.977,19.323,6/28/17,,90
3,14,HIS,,drift.std,5145,13750,13.75,-4.997,19.287,6/28/17,,90
3,15,HIS,,drift.std,5145,13215,13.215,-4.956,19.297,6/28/17,,90
4,1,CU YULE,,mon.std,5146,97298,97.298,-11.135,34.233,6/28/17,,92
4,2,CU YULE,,mon.std,5146,97436,97.436,-11.156,34.192,6/28/17,,92
4,3,CU YULE,,mon.std,5146,97426,97.426,-11.156,34.181,6/28/17,,92
4,4,CU YULE,,mon.std,5146,97262,97.262,-11.156,34.209,6/28/17,,92
4,5,CU YULE,,mon.std,5146,5960,5.96,-1.651,63.692,6/28/17,,92
4,6,CU YULE,,mon.std,5146,27070,27.07,-3.083,33,6/28/17,,92
4,7,CU YULE,,mon.std,5146,26171,26.171,-3.037,32.876,6/28/17,,92
4,8,CU YULE,,mon.std,5146,25216,25.216,-3.086,32.896,6/28/17,,92
4,9,CU YULE,,mon.std,5146,24274,24.274,-3.036,32.902,6/28/17,,92
4,10,CU YULE,,mon.std,5146,23335,23.335,-3.054,32.875,6/28/17,,92
4,11,CU YULE,,mon.std,5146,22443,22.443,-3.074,32.887,6/28/17,,92
4,12,CU YULE,,mon.std,5146,21620,21.62,-3.088,32.819,6/28/17,,92
4,13,CU YULE,,mon.std,5146,20756,20.756,-3.116,32.894,6/28/17,,92
4,14,CU YULE,,mon.std,5146,19948,19.948,-3.031,32.863,6/28/17,,92
4,15,CU YULE,,mon.std,5146,19169,19.169,-3.063,32.823,6/28/17,,92
5,1,HIS,,lin.std,5147,97081,97.081,-11.14,34.22,6/28/17,,47
5,2,HIS,,lin.std,5147,97504,97.504,-11.156,34.192,6/28/17,,47
5,3,HIS,,lin.std,5147,97319,97.319,-11.165,34.154,6/28/17,,47
5,4,HIS,,lin.std,5147,97268,97.268,-11.192,34.134,6/28/17,,47
